Column1;Column2;Column3;Column4
BATTINDARNO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CANALE DI RENO;Degrado urbano;Piazze/strade;Dissestate
RIGOSA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
BATTINDARNO;Degrado urbano;Piazze/strade;Dissestate
AGUCCHI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
TRIUMVIRATO-PIETRA;Degrado sociale;Segnalazioni;Senza fissa dimora
BORGO CENTRO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
AGUCCHI;Degrado urbano;Piazze/strade;Dissestate
LA BIRRA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
VIA DEL VIVAIO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
TRIUMVIRATO-PIETRA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
CASTELDEBOLE;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
VILLAGGIO DELLA BARCA;Microcriminalita;Vandalismi;
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
BORGO CENTRO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
TRIUMVIRATO-PIETRA;Degrado sociale;Segnalazioni;Bivacco
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CANALE DI RENO;Degrado urbano;Piazze/strade;Dissestate
CASTELDEBOLE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CASTELDEBOLE;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CASTELDEBOLE;Microcriminalita;Videosorveglianza;
DUCATI-VILLAGGIO INA;Degrado urbano;Piazze/strade;Dissestate
BATTINDARNO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
EMILIA PONENTE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CASTELDEBOLE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
LA BIRRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BARGELLINO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CASTELDEBOLE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;
BARGELLINO;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado urbano;Edifici privati;Danneggiati
BORGO CENTRO;Degrado ambientale;Inquinamento atmosferico;Amianto
DUCATI-VILLAGGIO INA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA DEL VIVAIO;Degrado sociale;Segnalazioni;Prostituzione
BORGO CENTRO;Degrado urbano;Piazze/strade;Dissestate
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
BORGO CENTRO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Deiezioni cani
VILLAGGIO DELLA BARCA;Degrado ambientale;;
CANALE DI RENO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VILLAGGIO DELLA BARCA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
TRIUMVIRATO-PIETRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
BORGO CENTRO;Degrado ambientale;Inquinamento atmosferico;Emissioni da impianti termici/condizionatori
CASTELDEBOLE;Degrado sociale;Segnalazioni;Bande giovanili
AEROPORTO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
AGUCCHI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
BORGO CENTRO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da piccioni
RIGOSA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
EMILIA PONENTE;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;
BARGELLINO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
TRIUMVIRATO-PIETRA;Degrado urbano;Piazze/strade;Dissestate
CASTELDEBOLE;Degrado sociale;Segnalazioni;Bivacco
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
AGUCCHI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA DEL VIVAIO;Degrado urbano;Cantieri edili;Abbandonati
RIGOSA;Degrado urbano;Piazze/strade;Dissestate
CASTELDEBOLE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
LAVINO DI MEZZO;Degrado urbano;Piazze/strade;Dissestate
EMILIA PONENTE;Degrado urbano;Piazze/strade;Dissestate
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
VILLAGGIO DELLA BARCA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
EMILIA PONENTE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
DUCATI-VILLAGGIO INA;Degrado urbano;;
TRIUMVIRATO-PIETRA;Degrado urbano;;
EMILIA PONENTE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
TRIUMVIRATO-PIETRA;Degrado urbano;;
AGUCCHI;Microcriminalita;Vandalismi;
BATTINDARNO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CANALE DI RENO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
LA BIRRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
DUCATI-VILLAGGIO INA;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
VILLAGGIO DELLA BARCA;Degrado urbano;Piazze/strade;Dissestate
VILLAGGIO DELLA BARCA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
BORGO CENTRO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
EMILIA PONENTE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BORGO CENTRO;Degrado urbano;Piazze/strade;Dissestate
BORGO CENTRO;Degrado urbano;Cantieri edili;Inquinanti/rumorosi
VIA DEL VIVAIO;Degrado urbano;Illuminazione pubblica/lampioni;Carente
BORGO CENTRO;Degrado urbano;Edifici pubblici;Imbrattati
VILLAGGIO DELLA BARCA;Degrado urbano;Piazze/strade;Dissestate
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
VILLAGGIO DELLA BARCA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
BARGELLINO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BATTINDARNO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
RIGOSA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
VIA DEL VIVAIO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BORGO CENTRO;Degrado urbano;Piazze/strade;Dissestate
LA BIRRA;Degrado ambientale;Inquinamento acustico;Rumore da infrastrutture
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
EMILIA PONENTE;Degrado sociale;Segnalazioni;Mendicanti
TRIUMVIRATO-PIETRA;Degrado urbano;Piazze/strade;Dissestate
CASTELDEBOLE;Degrado sociale;Segnalazioni;Nomadi
BARGELLINO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
CANALE DI RENO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
RIGOSA;Microcriminalita;Comportamenti sanzionabili;Sfruttamento della prostituzione
AGUCCHI;Degrado ambientale;Inquinamento acustico;Privati
BATTINDARNO;Degrado urbano;Cantieri edili;Non/mal segnalati
DUCATI-VILLAGGIO INA;Degrado urbano;Piazze/strade;Dissestate
VILLAGGIO DELLA BARCA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
AGUCCHI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
LA BIRRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CANALE DI RENO;Degrado urbano;Piazze/strade;Dissestate
CASTELDEBOLE;Degrado sociale;Segnalazioni;Nomadi
EMILIA PONENTE;Degrado sociale;Segnalazioni;Bivacco
VILLAGGIO DELLA BARCA;Degrado sociale;Segnalazioni;Bivacco
RIGOSA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
RIGOSA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
AGUCCHI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
TRIUMVIRATO-PIETRA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BATTINDARNO;Degrado urbano;Illuminazione pubblica/lampioni;Carente
BARGELLINO;Degrado urbano;Piazze/strade;Dissestate
CANALE DI RENO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
AEROPORTO;Degrado urbano;Piazze/strade;Dissestate
CASTELDEBOLE;Microcriminalita;Vandalismi;
RIGOSA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
VILLAGGIO DELLA BARCA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
LAVINO DI MEZZO;Degrado urbano;Edifici pubblici;Danneggiati
RIGOSA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
DUCATI-VILLAGGIO INA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
AGUCCHI;Degrado urbano;Edifici privati;Abusivi
DUCATI-VILLAGGIO INA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
BATTINDARNO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
CASTELDEBOLE;Degrado sociale;Segnalazioni;Nomadi
TRIUMVIRATO-PIETRA;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado sociale;Segnalazioni;Nomadi
BORGO CENTRO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
TRIUMVIRATO-PIETRA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VILLAGGIO DELLA BARCA;Degrado urbano;Piazze/strade;Dissestate
BATTINDARNO;Degrado urbano;Cantieri edili;Abusivi
CANALE DI RENO;Microcriminalita;Furti/rapine;
TRIUMVIRATO-PIETRA;Degrado sociale;Segnalazioni;Nomadi
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
TRIUMVIRATO-PIETRA;Degrado sociale;Segnalazioni;Nomadi
CANALE DI RENO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CASTELDEBOLE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BORGO CENTRO;Degrado sociale;Segnalazioni;Nomadi
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Carenti
BORGO CENTRO;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VIA DEL VIVAIO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
RIGOSA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
BATTINDARNO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BATTINDARNO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
BORGO CENTRO;Degrado urbano;Parcheggi pubblici;Dissestati
CANALE DI RENO;Degrado sociale;Segnalazioni;Nomadi
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
TRIUMVIRATO-PIETRA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
TRIUMVIRATO-PIETRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
BORGO CENTRO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
BARGELLINO;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado sociale;Segnalazioni;Nomadi
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
TRIUMVIRATO-PIETRA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
DUCATI-VILLAGGIO INA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
BATTINDARNO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
VILLAGGIO DELLA BARCA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
EMILIA PONENTE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BARGELLINO;Degrado sociale;Segnalazioni;Nomadi
BORGO CENTRO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
TRIUMVIRATO-PIETRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
AGUCCHI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
EMILIA PONENTE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
BATTINDARNO;Degrado urbano;Piazze/strade;Dissestate
BATTINDARNO;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
DUCATI-VILLAGGIO INA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
RIGOSA;Degrado ambientale;Dissesto idro-geologico;Allagamenti
AGUCCHI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CANALE DI RENO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
AGUCCHI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
BORGO CENTRO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
DUCATI-VILLAGGIO INA;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
EMILIA PONENTE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BATTINDARNO;Degrado urbano;Piazze/strade;Dissestate
VIA DEL VIVAIO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
VIA DEL VIVAIO;Degrado ambientale;Inquinamento atmosferico;Inquinamento atmosferico da sorgenti non puntuali
DUCATI-VILLAGGIO INA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
CASTELDEBOLE;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado urbano;Piazze/strade;Dissestate
CASTELDEBOLE;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
VILLAGGIO DELLA BARCA;Degrado urbano;Piazze/strade;Dissestate
RIGOSA;Degrado urbano;Piazze/strade;Dissestate
BORGO CENTRO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
CANALE DI RENO;Degrado urbano;Piazze/strade;Dissestate
CANALE DI RENO;Degrado urbano;Piazze/strade;Dissestate
DUCATI-VILLAGGIO INA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
TRIUMVIRATO-PIETRA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
BORGO CENTRO;Degrado urbano;Piazze/strade;Dissestate
VILLAGGIO DELLA BARCA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
RIGOSA;Degrado sociale;Segnalazioni;Prostituzione
AGUCCHI;Degrado urbano;Cantieri edili;Non/mal segnalati
VILLAGGIO DELLA BARCA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
TRIUMVIRATO-PIETRA;Degrado sociale;Conflitti;Fra adulti/fra vicini
CANALE DI RENO;Degrado sociale;Segnalazioni;Bivacco
CANALE DI RENO;Degrado sociale;Segnalazioni;Bivacco
CASTELDEBOLE;Degrado urbano;Piste ciclabili;Non/mal segnalate
VIA DEL VIVAIO;Degrado sociale;Segnalazioni;Prostituzione
TRIUMVIRATO-PIETRA;Degrado sociale;Conflitti;Fra adulti/fra vicini
BATTINDARNO;Degrado sociale;Segnalazioni;
LA BIRRA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
LAVINO DI MEZZO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
AEROPORTO;Degrado urbano;Piazze/strade;Dissestate
CANALE DI RENO;Degrado urbano;Cantieri edili;Abbandonati
AEROPORTO;Degrado ambientale;Inquinamento acustico;Cantieri e attivita estrattive
DUCATI-VILLAGGIO INA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CANALE DI RENO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
VILLAGGIO DELLA BARCA;Degrado ambientale;Inquinamento acustico;Rumore da sorgenti fisse
BORGO CENTRO;Microcriminalita;Vandalismi;
EMILIA PONENTE;Degrado urbano;Cantieri edili;Abusivi
AGUCCHI;Degrado urbano;Piste ciclabili;Carenti
AEROPORTO;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
TRIUMVIRATO-PIETRA;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
BORGO CENTRO;Degrado urbano;Parcheggi pubblici;Dissestati
EMILIA PONENTE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
LA BIRRA;Degrado urbano;Cantieri stradali;Abbandonati
BORGO CENTRO;Degrado ambientale;Inquinamento acustico;Rumore da sorgenti fisse
CASTELDEBOLE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
CASTELDEBOLE;Degrado ambientale;Inquinamento acustico;Privati
LAVINO DI MEZZO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BORGO CENTRO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
BORGO CENTRO;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Sporcizia da persone
LA BIRRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Non/mal funzionanti
DUCATI-VILLAGGIO INA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
DUCATI-VILLAGGIO INA;Degrado sociale;Segnalazioni;Bivacco
BARGELLINO;Degrado urbano;Piazze/strade;Dissestate
AGUCCHI;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
BORGO CENTRO;Degrado sociale;Segnalazioni;Bivacco
RIGOSA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
VIA DEL VIVAIO;Microcriminalita;Vandalismi;
CANALE DI RENO;Degrado urbano;Piazze/strade;Dissestate
TRIUMVIRATO-PIETRA;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
BATTINDARNO;Degrado urbano;Illuminazione pubblica/lampioni;Carente
TRIUMVIRATO-PIETRA;Degrado urbano;Cantieri stradali;Abbandonati
CANALE DI RENO;Degrado ambientale;Inquinamento acustico;Cantieri e attivita estrattive
EMILIA PONENTE;Degrado ambientale;Inquinamento acustico;Cantieri e attivita estrattive
CANALE DI RENO;Degrado ambientale;Rifiuti/rottami;Veicoli abbandonati/carcasse di veicoli
BATTINDARNO;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
AGUCCHI;Degrado urbano;Piazze/strade;Dissestate
DUCATI-VILLAGGIO INA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
AGUCCHI;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
LA BIRRA;Degrado ambientale;Inquinamento acustico;Rumore da infrastrutture
DUCATI-VILLAGGIO INA;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
RIGOSA;Degrado urbano;Illuminazione pubblica/lampioni;Danneggiata
CASTELDEBOLE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Imbrattati/sporchi
VILLAGGIO DELLA BARCA;Degrado urbano;Piazze/strade;Dissestate
BATTINDARNO;Degrado urbano;;
BATTINDARNO;Degrado urbano;;
AGUCCHI;Degrado sociale;Segnalazioni;Bivacco
CASTELDEBOLE;Degrado urbano;Illuminazione pubblica/lampioni;Non/mal funzionante
AGUCCHI;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Carenti
BORGO CENTRO;Degrado ambientale;Inquinamento acustico;Privati
CASTELDEBOLE;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
CANALE DI RENO;Degrado sociale;Segnalazioni;Bivacco
LA BIRRA;Degrado ambientale;Sporcizia/deiezioni/problemi igienici;Pulizia strade
LA BIRRA;Degrado ambientale;Scarichi idrici;Perdite
TRIUMVIRATO-PIETRA;Degrado urbano;Piazze/strade;Dissestate
BORGO CENTRO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
VILLAGGIO DELLA BARCA;Degrado urbano;Armadi/Colonnine Telecom;
VILLAGGIO DELLA BARCA;Degrado sociale;Segnalazioni;Bivacco
BORGO CENTRO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CASTELDEBOLE;Degrado sociale;Segnalazioni;Bivacco
TRIUMVIRATO-PIETRA;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
BORGO CENTRO;Degrado ambientale;Inquinamento acustico;Rumore da infrastrutture
CASTELDEBOLE;Degrado urbano;Piste ciclabili;Dissestate
AGUCCHI;Degrado urbano;Piazze/strade;Dissestate
BORGO CENTRO;Degrado ambientale;Dissesto idro-geologico;Allagamenti
CASTELDEBOLE;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
CANALE DI RENO;Degrado ambientale;Rifiuti/rottami;Siringhe/Preservativi
VILLAGGIO DELLA BARCA;Degrado sociale;Segnalazioni;Bivacco
CANALE DI RENO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
TRIUMVIRATO-PIETRA;Degrado sociale;Segnalazioni;Prostituzione
CANALE DI RENO;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
TRIUMVIRATO-PIETRA;Degrado ambientale;Rifiuti/rottami;Rifiuti urbani
EMILIA PONENTE;Degrado sociale;Segnalazioni;Prostituzione
EMILIA PONENTE;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
EMILIA PONENTE;Degrado urbano;Marciapiedi/attraversamenti pedonali/percorsi protetti;Dissestati
RIGOSA;Degrado sociale;Segnalazioni;Bande giovanili
AEROPORTO;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
RIGOSA;Degrado ambientale;Rifiuti/rottami;Rifiuti ingombranti
BATTINDARNO;Degrado sociale;Segnalazioni;Bivacco
CASTELDEBOLE;Degrado ambientale;Rifiuti/rottami;Discarica abusiva
BORGO CENTRO;Degrado urbano;Edifici pubblici;Danneggiati
CANALE DI RENO;Degrado urbano;Piazze/strade;Dissestate
CANALE DI RENO;Degrado ambientale;Inquinamento acustico;Privati
BORGO CENTRO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
BORGO CENTRO;Degrado urbano;Tombini/griglie/caditoie/chiusini/pozzetti/botole;Danneggiati
AGUCCHI;Degrado urbano;Piazze/strade;Dissestate
